time;nb_etapes_parcours;nb_collisions
1,493979;0;0
2,495486;0;0
3,498752;0;0
4,50625;0;0
5,519753;0;0
6,531727;0;0
7,532506;0;0
8,536777;0;0
9,543949;1;0
10,55006;1;0
11,57976;2;0
12,60274;2;0
13,61305;2;1
14,64477;2;1
15,65566;2;2
16,6592;2;5
17,6596;2;5
18,66375;2;5
19,66776;2;5
20,67838;2;5
21,68028;2;5
22,68277;2;6
23,69537;2;6
24,73232;2;6
25,77054;2;7
26,78984;2;8
27,80868;2;8
28,82267;2;8
29,84005;2;8
30,84153;2;8
31,86308;2;9
32,88282;2;9
33,9028;2;9
34,90462;2;9
35,91815;2;10
36,94712;2;10
37,96078;2;10
38,98029;2;11
39,98928;2;11
40,99572;2;11
42,003;2;11
43,00713;2;11
44,01276;2;11
